2025-06-23 02:07:58.031 [http-nio-8080-exec-2] INFO  c.c.controller.api.admin.AdminUserController - 成功返回用户列表，共5个用户
2025-06-23 02:08:00.190 [http-nio-8080-exec-7] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:08:00.190 [http-nio-8080-exec-7] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:08:00.201 [http-nio-8080-exec-1] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:08:00.207 [http-nio-8080-exec-1] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:08:00.237 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.268 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.273 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.270 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.293 [http-nio-8080-exec-6] INFO  c.c.controller.api.user.UserListController - 请求获取所有用户列表
2025-06-23 02:08:00.295 [http-nio-8080-exec-9] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:08:00.295 [http-nio-8080-exec-9] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
2025-06-23 02:08:00.326 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:08:00.343 [http-nio-8080-exec-6] INFO  c.c.controller.api.user.UserListController - 成功返回用户列表，共4个用户
2025-06-23 02:08:00.384 [http-nio-8080-exec-7] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:08:00.397 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:08:00.404 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:08:00.465 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.464 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:00.504 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:08:00.523 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:08:46.780 [http-nio-8080-exec-6] INFO  c.c.controller.api.admin.AdminUserController - 管理员请求获取所有用户列表
2025-06-23 02:08:46.792 [http-nio-8080-exec-3] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:08:46.794 [http-nio-8080-exec-2] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:08:46.796 [http-nio-8080-exec-3] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:08:46.805 [http-nio-8080-exec-2] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:08:46.818 [http-nio-8080-exec-6] INFO  c.c.controller.api.admin.AdminUserController - 成功返回用户列表，共5个用户
2025-06-23 02:08:48.277 [http-nio-8080-exec-1] INFO  c.codingtracker.controller.api.auth.AuthController - 请求获取用户个人信息: 用户名=admin
2025-06-23 02:08:48.283 [http-nio-8080-exec-1] INFO  c.codingtracker.controller.api.auth.AuthController - 成功返回用户个人信息: 用户名=admin
2025-06-23 02:08:49.962 [http-nio-8080-exec-4] INFO  c.c.controller.api.admin.AdminUserController - 请求获取OJ平台列表
2025-06-23 02:08:49.963 [http-nio-8080-exec-4] INFO  c.c.controller.api.admin.AdminUserController - 成功返回OJ平台列表，共18个平台
2025-06-23 02:08:49.971 [http-nio-8080-exec-10] INFO  c.c.controller.api.auth.UserTagController - 请求获取所有用户标签
2025-06-23 02:08:49.975 [http-nio-8080-exec-10] INFO  c.c.controller.api.auth.UserTagController - 成功返回用户标签列表，共4个标签
2025-06-23 02:08:50.000 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:50.041 [http-nio-8080-exec-5] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:08:50.044 [http-nio-8080-exec-6] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:50.064 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:50.076 [http-nio-8080-exec-7] INFO  c.c.controller.api.user.UserListController - 请求获取所有用户列表
2025-06-23 02:08:50.081 [http-nio-8080-exec-9] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:50.103 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 查询最近一次数据更新时间
2025-06-23 02:08:50.103 [http-nio-8080-exec-3] INFO  c.c.controller.api.training.UserTryController - 成功查询最近一次更新时间：-999999999-01-01T00:00
2025-06-23 02:08:50.132 [http-nio-8080-exec-6] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:08:50.135 [http-nio-8080-exec-7] INFO  c.c.controller.api.user.UserListController - 成功返回用户列表，共4个用户
2025-06-23 02:08:50.156 [http-nio-8080-exec-8] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:08:50.172 [http-nio-8080-exec-9] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:08:50.203 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 开始查询AC记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:50.222 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
2025-06-23 02:08:50.246 [http-nio-8080-exec-4] INFO  c.c.controller.api.training.UserTryController - 成功查询AC记录统计，返回 2 条记录
2025-06-23 02:08:50.269 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 成功查询尝试记录统计，返回 2 条记录
2025-06-23 02:08:50.821 [http-nio-8080-exec-1] INFO  c.c.controller.api.training.UserTryController - 用户 admin 请求手动重建系统数据
2025-06-23 02:08:50.826 [http-nio-8080-exec-1] WARN  c.c.controller.api.training.UserTryController - 当前已有更新进行中，用户 admin 的重建请求被拒绝
2025-06-23 02:15:31.744 [http-nio-8080-exec-4] INFO  c.codingtracker.controller.api.auth.AuthController - 用户登录尝试: 用户名=admin
2025-06-23 02:15:31.878 [http-nio-8080-exec-4] INFO  c.codingtracker.controller.api.auth.AuthController - 用户登录成功: 用户名=admin
2025-06-23 02:15:31.994 [http-nio-8080-exec-5] INFO  c.codingtracker.controller.api.auth.AuthController - 请求获取用户个人信息: 用户名=admin
2025-06-23 02:15:32.013 [http-nio-8080-exec-5] INFO  c.codingtracker.controller.api.auth.AuthController - 成功返回用户个人信息: 用户名=admin
2025-06-23 02:15:32.309 [http-nio-8080-exec-2] INFO  c.c.controller.api.training.UserTryController - 开始查询尝试记录统计，时间范围：2020-12-31T00:00 至 2025-06-22T23:59:59
